"Label (Grouping)","Census Tract 908, Kings County, New York!!Households!!Estimate","Census Tract 908, Kings County, New York!!Families!!Estimate","Census Tract 908, Kings County, New York!!Married-couple families!!Estimate","Census Tract 908, Kings County, New York!!Nonfamily households!!Estimate","Census Tract 910, Kings County, New York!!Households!!Estimate","Census Tract 910, Kings County, New York!!Families!!Estimate","Census Tract 910, Kings County, New York!!Married-couple families!!Estimate","Census Tract 910, Kings County, New York!!Nonfamily households!!Estimate","Census Tract 1134, Kings County, New York!!Households!!Estimate","Census Tract 1134, Kings County, New York!!Families!!Estimate","Census Tract 1134, Kings County, New York!!Married-couple families!!Estimate","Census Tract 1134, Kings County, New York!!Nonfamily households!!Estimate","Census Tract 1144, Kings County, New York!!Households!!Estimate","Census Tract 1144, Kings County, New York!!Families!!Estimate","Census Tract 1144, Kings County, New York!!Married-couple families!!Estimate","Census Tract 1144, Kings County, New York!!Nonfamily households!!Estimate","Census Tract 1156, Kings County, New York!!Households!!Estimate","Census Tract 1156, Kings County, New York!!Families!!Estimate","Census Tract 1156, Kings County, New York!!Married-couple families!!Estimate","Census Tract 1156, Kings County, New York!!Nonfamily households!!Estimate"
"Total","1,314","350","136","964","2,395","969","231","1,426","943","549","131","394","754","516","308","238","1,761","1,114","313","647"
"    Less than $10,000","41.7%","10.3%","26.5%","53.1%","37.9%","24.9%","0.0%","47.9%","23.5%","8.0%","0.0%","47.2%","15.4%","5.2%","0.0%","37.4%","31.5%","17.1%","0.0%","56.1%"
"    $10,000 to $14,999","12.1%","24.6%","18.4%","7.6%","17.7%","8.3%","0.0%","24.2%","10.4%","10.2%","0.0%","10.7%","1.1%","1.6%","2.6%","0.0%","10.4%","13.4%","8.3%","7.4%"
"    $15,000 to $24,999","9.7%","20.3%","6.6%","5.9%","13.2%","16.2%","37.2%","10.1%","6.0%","7.7%","9.2%","3.8%","6.4%","4.7%","1.0%","11.3%","19.0%","19.3%","8.0%","16.5%"
"    $25,000 to $34,999","12.3%","22.6%","30.1%","8.5%","8.3%","10.7%","29.0%","6.7%","8.4%","11.3%","4.6%","2.3%","8.4%","10.3%","0.0%","13.9%","5.5%","4.8%","0.0%","6.6%"
"    $35,000 to $49,999","3.0%","2.6%","0.0%","3.1%","4.8%","11.7%","11.3%","0.1%","20.3%","19.5%","11.5%","21.3%","11.0%","16.1%","22.1%","0.0%","19.0%","25.0%","33.9%","8.8%"
"    $50,000 to $74,999","8.9%","2.6%","0.0%","11.2%","5.0%","3.1%","0.0%","6.3%","19.2%","28.4%","45.0%","9.6%","31.2%","33.1%","35.1%","16.0%","5.6%","8.8%","23.3%","0.0%"
"    $75,000 to $99,999","10.4%","10.0%","0.0%","10.6%","2.8%","7.0%","11.7%","0.0%","8.8%","10.6%","17.6%","5.1%","4.5%","2.1%","3.6%","9.7%","6.3%","7.4%","13.4%","4.5%"
"    $100,000 to $149,999","1.9%","7.1%","18.4%","0.0%","7.5%","15.6%","0.0%","2.0%","2.5%","2.9%","12.2%","0.0%","8.4%","12.2%","12.7%","0.0%","1.8%","2.8%","7.7%","0.0%"
"    $150,000 to $199,999","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.8%","1.5%","0.0%","0.0%","9.4%","13.8%","23.1%","0.0%","1.0%","1.5%","5.4%","0.0%"
"    $200,000 or more","0.0%","0.0%","0.0%","0.0%","2.6%","2.6%","10.8%","2.7%","0.0%","0.0%","0.0%","0.0%","4.4%","1.0%","0.0%","11.8%","0.0%","0.0%","0.0%","0.0%"
"Median income (dollars)","12,234","22,050","24,444","9,597","13,128","25,774","31,101","10,457","35,969","44,103","54,688","10,948","63,587","68,071","71,481","25,938","19,004","25,119","49,970","8,647"
"Mean income (dollars)","26,705","31,659","N","24,864","56,469","105,216","N","23,099","37,253","45,485","N","23,750","72,808","73,515","N","63,768","29,162","36,488","N","16,420"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","51.8%","(X)","(X)","(X)","47.3%","(X)","(X)","(X)","53.4%","(X)","(X)","(X)","59.7%","(X)","(X)","(X)","40.1%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","67.4%","(X)","(X)","(X)","64.2%","(X)","(X)","(X)","66.7%","(X)","(X)","(X)","70.3%","(X)","(X)","(X)","42.6%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","44.5%","(X)","(X)","(X)","34.8%","(X)","(X)","(X)","35.0%","(X)","(X)","(X)","36.6%","(X)","(X)","(X)","35.9%"
